2018Rank,City,State,2018Estimate,2010Census,Change,2016LandAreaMi,2016LandAreaKm,2016PopulationDensityMi,2016PopulationDensityKm,latitude,longitude,FIPS Code,summary
181,Torrance,California,145182,145438,−0.18%,20.5 sq mi,53.1 km2,7180/sq mi,2770/km2,335006,1182029,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0680000,"The elective officers of the city are the mayor, six members of the City Council, five members of the Board of Education, the City Clerk and the City Treasurer.The City of Torrance operates a main library facility (named after former mayor Katy Geissert) in the city Civic Center, plus five branches at locations throughout the city.The City Council appoints the City Manager and the City Attorney.As of 2014 the City of Torrance has the second largest concentration of ethnic Japanese people of any U.S. city, after Honolulu.The city has 13 appointed boards and commissions which advise the council on matters of concern to local residents, such as the city airport, arts, parks, and libraries.Using the council-manager form of government, the City Council, as the elected body, adopts legislation, sets policy, adjudicates issues, and establishes the budget of the city.This residential and light high-tech industries city has 90,000 street trees and 30 city parks."
182,Bridgeport,Connecticut,144900,144229,+0.47%,16.1 sq mi,41.7 km2,9064/sq mi,3500/km2,411115,731145,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0908000,"A list of films shot or partially filmed in the city: Webster Bank Arena serves as the city's sports and hospitality center.Routes 8 and 25 run north-south across the city, with the two routes splitting just north of the city.The city suffered from overall mismanagement, for which several city officials were convicted, contributing to the economic and social decline.The city's public school system has 30 elementary schools, three comprehensive high schools, two alternative programs and an interdistrict vocational aquaculture school.The city is connected to nearby New York City by both Amtrak and Metro-North commuter trains, which serve Bridgeport's Metro-North station.Recently, MGM announced plans to build a waterfront casino and shopping center in the city, awaiting approval by the state government.The city has started a large school renovation and construction program, with plans for new schools and modernization of existing buildings."
183,McAllen,Texas,143433,129877,+10.44%,58.4 sq mi,151.3 km2,2435/sq mi,940/km2,261356,981447,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4845384,"Portions of the city extend into the Edinburg Consolidated Independent School District, which operates two elementary schools within the McAllen city limits.It is the fifth-most populous metropolitan area in the state of Texas, and the binational Reynosa–McAllen metropolitan area counts a population of nearly 1.52 million.The town was a petroleum and farm chemurgic center with a population of 11,877 in 1940, by which time it had adopted the nickname ""The City of Palms"".They have assisted the Border Patrol by using military helicopters to carrying border patrol agents to and from locations along the Mexico–United States border and maintaining vehicles.Today, the area is transforming into a major international trade area.MET Fare structure Downtown bus terminal The city of McAllen also operates the bus terminal facility in downtown McAllen, known as McAllen Central Station.McAllen is the largest city in Hidalgo County, Texas, United States, and the 22nd-most populous city in Texas."
184,Mesquite,Texas,142816,139824,+2.14%,47.2 sq mi,122.2 km2,3045/sq mi,1176/km2,324546,963520,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4847892,"The city has been designated a Playful City USA four years running and opened its Heritage Trail system in 2015.The city council of Mesquite consists of a mayor and six council members, with Stan Pickett serving as mayor and Cliff Keheley as city manager.The city has been named a Tree City USA by the National Arbor Day Foundation for over 25 years.Mesquite is a suburban city located east of the city of Dallas, Texas, in the United States.In the city's earliest years it was known for many outlaws residing in the area.The city also operates its own paratransit service for elderly and disabled residents.As of 2017 census estimates the population was 143,949, making it the twenty-first most populous city in the U.S. state of Texas."
185,Syracuse,New York,142749,145170,−1.67%,25.0 sq mi,64.7 km2,5735/sq mi,2214/km2,430228,760837,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US3673000,"It is the fifth-most populous city in the state of New York following New York City, Buffalo, Rochester, and Yonkers.The city has many neighborhoods that were originally independent villages, which joined the city over the years.Although city population has declined since 1950, the Syracuse metropolitan area population has remained fairly stable, growing by 2.5 percent since 1970.Syracuse's main water source is Skaneateles Lake, one of the country's cleanest lakes, located 15 miles (24 kilometres) southwest of the city.Syracuse was named after the classical Greek city Syracuse (Siracusa in Italian), a city on the eastern coast of the Italian island of Sicily.There are 12 public pools, two public ice rinks, and two public nine-hole golf courses in the city.At the 2010 census, the city population was 145,252, and its metropolitan area had a population of 662,577."
186,Midland,Texas,142344,111147,+28.07%,74.4 sq mi,192.7 km2,1809/sq mi,698/km2,320129,1020649,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4848072,"The city was incorporated in 1906, and by 1910 the city established its first fire department, along with a new water system.The county districts geographically quartered the county, but the city of Midland, in the northwestern quarter, accounted for 97% of the county's population.Midland is also the home for the physician assistant program offered by the Texas Tech University Health Sciences Center Permian Basin Campus located on the campus of Midland College.Midland's economy still relies heavily on petroleum; however, the city has also diversified to become a regional telecommunications and distribution center.Midland is also home to three charter schools: Richard Milburn Academy, Premier High School, and Midland Academy Charter School.Midland is a city in and the county seat of Midland County, Texas, United States, on the Southern Plains of the state's western area.Yet another boom period took place during the 1970s, with the high oil prices associated with the oil and energy crises of that decade."
187,Pasadena,California,141371,137122,+3.10%,23.0 sq mi,59.6 km2,6176/sq mi,2385/km2,340938,1180823,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0656000,"In addition to city manager, the city council appoints the city attorney and prosecutor, and the city clerk.The city is one of three city members of the Burbank-Glendale-Pasadena Airport Authority, which is a joint powers agency that owns Hollywood Burbank Airport.Electrified Light Rail was the preferred alternative to Metrolink or similar style service because the city of Pasadena did not like or want diesel locomotives traversing the city.When Busch died at his Pasadena estate, his wife generously offered the property to the City of Pasadena, an offer the city inexplicably refused.By 1940, Pasadena had become the eighth-largest city in California and was widely considered a twin city to Los Angeles.The city charter specifies a city council/manager form of government.Pasadena City College has an art gallery that shows work of professionals as part of their annual artist-in-residence program, as well as exhibiting work by students and faculty."
188,Murfreesboro,Tennessee,141344,108755,+29.97%,55.9 sq mi,144.8 km2,2360/sq mi,910/km2,355108,862458,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4751560,"The city also benefits from several highways running through the city, including Interstates 24 and 840; U.S.In April 2007 the City of Murfreesboro established a public transportation system with nine small buses, each capable of holding sixteen people and including two spaces for wheelchairs.According to the United States Census Bureau, the city has a total area of 39.2 square miles (102 km2).The city is home to both the center of population of Tennessee , and the geographic center of Tennessee.Elementary education within the city is overseen by Murfreesboro City Schools (MCS).The city council has six members, all elected at-large for four-year terms, on staggered schedules with elections every two years.City council members have responsibilities for various city departments."
189,Miramar,Florida,140823,122041,+15.39%,29.4 sq mi,76.1 km2,4709/sq mi,1818/km2,255837,802009,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US1245975,"Miramar's Trinidadian community had the 12th highest percentage of residents, which was at 1.2% (tied with Wheatley Heights, New York and Neptune City, New Jersey).In 2000, the median income for a household in the city was $50,289, and the median income for a family was $52,952.At the time of incorporation, the city had a population of less than two hundred people.These homes sold quickly because of the low cost of both the homes and the land, and the city of Miramar came into being.It is a principal city of the Miami metropolitan area, which is home to over 6 million people.The city adopted a Comprehensive Land Use Plan in 1972 before cities and counties were mandated to do so.This landmark is a vibrant destination located in the heart of the Miramar Town Center, situated adjacent to City Hall."
190,Dayton,Ohio,140640,141527,−0.63%,55.7 sq mi,144.3 km2,2522/sq mi,974/km2,394639,841159,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US39113,"The 2013 census population estimate showed an increasing city of Dayton population for the first time in five decades, attributed to revitalization efforts downtown and the increasing downtown population.All policy items are decided by the City Commission, which is empowered by the City Charter to pass ordinances and resolutions, adopt regulations, and appoint the city manager.Dayton is also home to Sinclair Community College, the largest community college at a single location in Ohio and one of the nation's largest community colleges.The city of Dayton is also host to yearly festivals, notably the Dayton Celtic Festival and the City Folk Festival.Hospitals in the Greater Dayton area have an estimated combined employment of nearly 32,000 and a yearly economic impact of $6.8 billion.Dayton was the first large American city to adopt the city manager form of municipal government, in 1913.The city of Dayton is the home to the Dayton Area Rugby Club which host their home games at the Dayton Rugby Grounds."
191,Fullerton,California,139640,135161,+3.31%,22.4 sq mi,58.0 km2,6282/sq mi,2425/km2,335309,1175541,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0628000,"According to the City's 2010 Comprehensive Annual Financial Report, the top employers in the city are: Fullerton is a general law city with a council-manager government system.In recent years, the City Council has tried to allow development in the remaining open land throughout the city.The Fullerton Police Department provides law enforcement, while the California State University Police Department also has law enforcement jurisdiction in areas of the city near the CSU Fullerton campus.Imperial Highway, which is part of State Route 90, also runs though a small portion of the north end of the city.Meanwhile, the city banned all overnight street parking in 1924— a law enforced to the present day, unless an area is specifically exempted.The ROD had abolished condition use; a new ordinance to establish restrictions was drafted and adopted by the city council in 2008. a police task force last year[clarification needed][when?]The current development agreement calls for building houses on some of the land while donating the remainder to the city as a nature preserve."
192,Olathe,Kansas,139605,125872,+10.91%,60.9 sq mi,157.7 km2,2225/sq mi,859/km2,385303,944910,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US2052575,"The temperature reaches 90 °F (32 °C) an average of 36 days per year and 100 °F (38 °C) an average of 3 days per year.Measurable snowfall occurs an average of nine days per year with at least an inch of snow being received on seven of those days.Snow depth of at least an inch occurs an average of 25 days per year.The minimum temperature falls below freezing (32 °F) an average of 102 days per year, but rarely drops below 10 °F (−12 °C).It is the fourth most populous city in the Kansas City Metropolitan Area and Kansas.There are on average 95 days of measurable precipitation per year.The median age in the city was 32.9 years."
193,Orange,California,139484,136416,+2.25%,25.4 sq mi,65.8 km2,5532/sq mi,2136/km2,334713,1175141,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0653980,"Orange was the only city in Orange County to be planned and built around a plaza, earned it the nickname Plaza City.Snowfall is extremely rare in the city basin, but the mountains within city limits typically receive snowfall every winter.Old Towne, Orange Historic District, a one square-mile around the original plaza, contains many of the original structures built in the period after the city's incorporation.77,179 people (56.6% of the population) lived in owner-occupied housing units and 52,984 people (38.8%) lived in rental housing units.The small city of Villa Park is surrounded by the city of Orange.Out of the total population, 12.5% of those under the age of 18 and 7.5% of those 65 and older are living below the poverty line.As of the census of 2000, there were 128,821 people, 40,930 households, and 30,165 families residing in the city."
194,Thornton,Colorado,139436,118772,+17.40%,35.7 sq mi,92.5 km2,3829/sq mi,1478/km2,395510,1045634,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0877290,"The median income for a household in the city was $65,578, and the median income for a family was $74,233.Thornton is the sixth-most populous city in the state of Colorado and the 213th-most populous city in the United States.About 7.8% of families and 9.9% of the population were below the poverty line, including 14.1% of those under age 18 and 7.4% of those age 65 or over.The United States Census Bureau reported the city's growing population at 118,772 on April 1, 2010, a 44.2% increase from the 2000 Census population of 82,384.There are over 80 miles (130 km) of trails throughout the city.20.1% of all households were made up of individuals, and 4.2% had someone living alone who was 65 years of age or older.Thornton consisted solely of farmland until 1953 when Sam Hoffman purchased a lot off Washington Street about seven miles (11 km) north of Denver."
195,Roseville,California,139117,118788,+17.11%,43.0 sq mi,111.4 km2,3085/sq mi,1191/km2,384608,1211908,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0662938,"The city was a railroad town for decades, with the railroad employing up to 1,225 people by 1929, out of a population of only 6,425 people.The city saw steady population growth throughout the ensuing decades, as shopping centers, major retailers, and homes were constructed throughout the city.79,887 people (67.3% of the population) lived in owner-occupied housing units and 38,054 people (32.0%) lived in rental housing units.Revenue from sales tax has been a main reason why the city of Roseville has been able to keep up the city's infrastructure as the population has dramatically increased.Between 1929 when the population was 6,425 people and 1985, the population grew by only 22,563 people.About 3.4% of families and 4.9% of the population were below the poverty line, including 5.3% of those under age 18 and 4.1% of those age 65 or over.The population density was 3,279.4 people per square mile (1,266.2/km²)."
196,Denton,Texas,138541,113383,+22.19%,93.4 sq mi,241.9 km2,1433/sq mi,553/km2,331300,970829,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4819972,"The city's public television station, Denton TV (DTV), covers city council meetings, restaurant scores, high school football, and educational programming.The city's three largest educational institutions, including the University of North Texas, Denton Independent School District, and Texas Woman's University, are the largest employers, employing almost 12,000 people.Its diverse citizenry is represented by a nonpartisan city council, and numerous county and state departments have offices in the city.From 1914 to 1959, the City of Denton used a mayor–city commission system, but a charter adopted in 1959 created a council–manager form of city government.Loop 288 partially encircles the city; it passes through the northern limits of the city by C. H. Collins Athletic Complex and the eastern side near Golden Triangle Mall.The City of Denton Water Utilities Department serves the city's water demand.The city manager is appointed by the Denton City Council."
197,Waco,Texas,138183,124805,+10.72%,89.0 sq mi,230.5 km2,1510/sq mi,580/km2,313336,971110,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4876000,"Three large public high schools are in the Waco city limits: Waco High School (Waco ISD), University High School (Waco ISD), and Midway High School (Midway ISD).The city had a 2010 population of 124,805, making it the 22nd-most populous city in the state.Property owners wanted to name the city Lamartine, but Erath convinced them to name the area Waco Village, after the Indians who had lived there.In 2006, the Waco City Council officially condemned the lynching, which took place without opposition from local political or judicial leaders; the mayor and chief of police were spectators.According to the United States Census Bureau, the city has a total area of 95.5 square miles (247 km2).The Texas Eagle route includes daily stops in McGregor, located 20 miles west of the city.The Waco Mammoth National Monument is a paleontological site and museum managed by the National Park Service in conjunction with the City of Waco and Baylor University."
198,Surprise,Arizona,138161,117517,+17.57%,107.9 sq mi,279.5 km2,1230/sq mi,470/km2,334014,1122710,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0471510,"Surprise is about five miles (8 km) northwest of Del Webb's original Sun City development and adjacent to Sun City West.Sun City Grand has become a large contributor to the city's population, which more than septupled (7 times) from 10,187 to about 75,000 in 2004.The population was 30,848 at the 2000 census; however, rapid expansion has boosted the city's population to 117,517 at the 2010 census, an increase of 281%.The median income for a household in the city was $44,156, and the median income for a family was $47,899.In recent years, the racial makeup has varied due to the rapid expansion of the city.As of the census of 2000, there were 30,848 people, 12,484 households, and 9,725 families residing in the city.About 5.6% of families and 8.7% of the population were below the poverty line, including 16.7% of those under age 18 and 3.3% of those age 65 or over."
199,Carrollton,Texas,136879,119097,+14.93%,36.3 sq mi,94.0 km2,3674/sq mi,1419/km2,325918,965359,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4813024,"The city also supported a brick plant and a dairy industry, and National Metal Products established itself in the city in 1946.The City of Carrollton has a City Council that consists of seven members and a Mayor, the current Mayor of Carrollton is Kevin Falconer.As of the 2010 census, the total population was 119,097, with 43,299 households and 31,073 families residing in the city.At the 2010 census, the median income for a household in the city was $70,960 and the median income for a family was $68,672.A gravel industry that began in Carrollton in 1912 transformed the city, by the late 1940s, to a ""grain and gravel"" town.As of the 2010 census, its population was 119,097, making it the twenty-third most populous city in Texas.About 4.1% of families and 5.6% of the population were below the poverty line, including 7.4% of those under age 18 and 6.3% of those age 65 or over."
200,West Valley City,Utah,136401,129480,+5.35%,35.5 sq mi,91.9 km2,3847/sq mi,1485/km2,404119,1120042,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4983470,"This area of West Valley City has a median household income of $42,512, which is lower when compared to the rest of the city and region.West Valley City is a city in Salt Lake County and a suburb of Salt Lake City in the U.S. state of Utah.According to the City's 2017 Comprehensive Annual Financial Report, these are the top employers in the city: The city lies in the Granite School District.This side of West Valley City is also home to USANA Amphitheater, though it technically shares the 84118 zip code with Kearns and Taylorsville, rather than West Valley City.West Valley City is on the same address grid system as Salt Lake City, and therefore also follows the same street numbering system.West Valley City has sister cities, as designated by Sister Cities International: West Valley City travel guide from WikivoyageThis area of West Valley City has a median household income of $55,087, which is typical for the state of Utah and Northern Salt Lake County."
201,Charleston,South Carolina,136208,120083,+13.43%,109.0 sq mi,282.3 km2,1233/sq mi,476/km2,324904,795732,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4513330,"Port activity at the two terminals located in the city of Charleston is one of the city's leading sources of revenue, behind tourism.The city is served by the EMS and 911 services of both Charleston and Berkeley counties since the city is part of both counties.These stations are licensed in Charleston and have significant operations or viewers in the city: Charleston has one official sister city, Spoleto, Umbria, Italy.The historic city provided a perfect fit: intimate enough that the Festival would captivate the entire city, yet cosmopolitan enough to provide an enthusiastic audience and robust infrastructure.""State and city laws prohibited black literacy, limited black worship to daylight hours, and required a majority of any church's parishioners be white.The city has several major hospitals located in the downtown area: Medical University of South Carolina Medical Center (MUSC), Ralph H. Johnson VA Medical Center, and Roper Hospital.Charleston is also home to the Roper Hospital School of Practical Nursing, and the city has a downtown satellite campus for the region's technical school, Trident Technical College."
202,Warren,Michigan,134587,134056,+0.40%,34.4 sq mi,89.1 km2,3928/sq mi,1517/km2,422934,830130,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US2684000,"The 2010 census places the city's population at 134,056, making Warren the largest city in Macomb County, the third largest city in Michigan, and Metro Detroit's largest suburb.The 2014 Census estimate placed Warren's population at 134,398 and the 2015 census estimate placed the population at the 2015 estimate placed the population at 135,358.This change in population continued into the next decade when the city's population doubled again, ultimately reaching a high of 179,000 in 1970.In 1970, whites made up 99.5% of the city's total population of 179,270; only 838 non-whites lived within the city limits.For 2000 the non-Hispanic white population of Warren was 90.4% of the total population.The median income for a household in the city was $44,626, and the median income for a family was $52,444.The City of Warren established a Christian prayer station at city hall that is operated by the Pentecostal Tabernacle Church of Warren."
203,Hampton,Virginia,134313,137436,−2.27%,51.5 sq mi,133.4 km2,2629/sq mi,1015/km2,370253,761750,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US5135000,"The area became part of Elizabeth Cittie [sic] in 1619, Elizabeth River Shire in 1634, and was included in Elizabeth City County when it was formed in 1643.Together, many Air Force and Navy families in the Hampton area experienced significant losses in war and peacetime due to family members in combat and peacetime military accidents.On March 30, 1908, Hampton was separated from Elizabeth City County and became an independent city.The airport recently added a fourth airline carrier, Frontier Airlines, becoming the first new airline to come to the region in over eight years, despite the economic recession conditions.Development of new residential development and additional public facilities (such as the new fishing pier recently opened) are underway at Buckroe Beach, long a noted resort area.By 1680, the settlement was known as Hampton, and it was incorporated as a town in 1705 and became the seat of Elizabeth City County.Likewise, Williamsburg, Yorktown and the counties of James City and York are also located nearby in the Peninsula subregion, and many roads lead to them."
204,Gainesville,Florida,133857,124354,+7.64%,62.3 sq mi,161.4 km2,2112/sq mi,815/km2,294044,822046,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US1225175," Gainesville is the county seat and largest city in Alachua County, Florida, United States, and the principal city of the Gainesville, Florida Metropolitan Statistical Area (MSA).The area is also served by Gainesville Regional Airport in the northeast part of the city, with daily service to Atlanta, Miami, and Charlotte, North Carolina.Thirteen radio stations are licensed to operate in the city of Gainesville—five AM stations, six commercial FM stations, and two low-power non-commercial FM stations.It is also a component of the Gainesville-Lake City Combined Statistical Area, which had a 2013 population of 337,925.Gainesville's east side houses the majority of the city's African-American community, while the west side consists of the mainly student and white resident population.Gainesville is administered by a 7-member city commission (four commissioners are elected by district, two are elected at large, and the mayor is elected at large).Fire protection within the city limits is provided by the Gainesville Fire Rescue, while the surrounding county is served by the Alachua County Fire Rescue."
205,Visalia,California,133800,124442,+7.52%,37.5 sq mi,97.1 km2,3495/sq mi,1349/km2,361938,1191944,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0682954,"The City Council hires a powerful city manager that serves as executive officer, administers city operations, and carries out city policies.Visalia is a charter city with a city charter approved by the electorate that acts as a ""constitution"" for the city.The city council members serve 4-year terms, and they select one member to serve as mayor and one to serve as vice mayor.Until the November 2012 elections, Visalia voters at large, elected the 5-member City Council that serves as the city's legislative and governing body.Snowfall is extremely rare in the valley, but the mountains a couple miles east of city limits receive snowfall every winter.[citation needed] Visalia Unified School District serves the entire city of Visalia, as well as several surrounding communities, with a student population of about 30,000.Each March, the City Council meets and chooses one of its members as mayor and one as vice-mayor."
206,Coral Springs,Florida,133507,121096,+10.25%,23.8 sq mi,61.6 km2,5465/sq mi,2110/km2,261615,801533,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US1214400,"The city's new $38 million city hall complex opened in January 2018, replacing the old building which was demolished later that year.The city government's effective fiscal management has maintained high bond ratings, and the city has won accolades for its overall livability, its low crime rate, and its family-friendly orientation. Coral Springs, officially the City of Coral Springs, is a city in Broward County, Florida, United States, approximately 20 miles (32 km) northwest of Fort Lauderdale.The role of the commission is to pass ordinances and resolutions, adopt regulations, and appoint city officials, including the city manager.In 2009, all public elementary, middle, and charter schools in the city received ""A's,"" except for Broward Community Charter School West, which received a ""B.""The city added 19 public schools, a regional mall, shopping centers and parks between 1970 and 2000 in response to rapid population growth.The City of Coral Springs' Parks and Recreation Department operates over 50 municipal parks, including a water park and a skate park, encompassing over 675 acres (2.7 km2)."
207,Columbia,South Carolina,133451,129272,+3.23%,133.5 sq mi,345.8 km2,1006/sq mi,388/km2,340145,805353,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US4516000,"The city is located approximately 13 miles (21 km) northwest of the geographic center of South Carolina, and is the primary city of the Midlands region of the state.One of the most ambitious development projects in the city's history is currently underway which involves old state mental health campus downtown on Bull Street.The city is served daily by Amtrak station, with the Silver Star trains connecting Columbia with New York City, Washington, DC, Savannah, Jacksonville, Orlando, Tampa, and Miami.The city continued to grow at a rapid pace, and throughout the 1850s and 1860s Columbia was the largest inland city in the Carolinas.In 1934, the federal courthouse at the corner of Main and Laurel streets was purchased by the city for use as City Hall.The city serves as the county seat of Richland County, and a portion of the city extends into neighboring Lexington County. Columbia is the capital and second largest city of the U.S. state of South Carolina, with a population estimate of 134,309 as of 2016."
208,Cedar Rapids,Iowa,133174,126326,+5.42%,70.8 sq mi,183.4 km2,1852/sq mi,715/km2,415801,914040,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US1912000,"The Linn-Mar Community School District serves part of the northeast quadrant of the city and has seven elementary schools inside the city limits.Public television is provided by Iowa Public Television, which has two stations in the area: KIIN channel 12 in Iowa City and KRIN channel 32 in Waterloo.The Cedar Rapids Metropolitan Statistical Area (MSA) is also a part of a Combined Statistical Area (CSA) with the Iowa City MSA.The city of Cedar Rapids purchased additional Hesco barriers from Iowa City for $1.4 million.The city is also served by The Eastern Iowa Airport (formerly known as the Cedar Rapids Airport), a regional airport that connects with other regional and international airports.The Iowa Interstate reaches the city via the Crandic tracks, running a daily train from Iowa City, Iowa to Cedar Rapids.Also farther north in the northeast quadrant are Noelridge Park and Kenwood Park, which was independent until it was incorporated into the Cedar Rapids city limits."
209,Sterling Heights,Michigan,132964,129699,+2.52%,36.5 sq mi,94.5 km2,3628/sq mi,1401/km2,423452,830149,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US2676460,"The city also releases a seasonal magazine and a city calendar free of charge to each city household and business.SHTV is run by the city's community relations department and usually features locally produced programming (including City Council meetings) and community announcements.Sterling Heights sits on two main thoroughfares: As of the census of 2010, there were 129,699 people, 49,451 households, and 34,515 families residing in the city.The median income for a household in the city was $60,494, and the median income for a family was $70,140.The median age in the city was 40.4 years.As of the census of 2000, there were 124,471 people, 46,319 households, and 33,395 families residing in the city.Dobry Road on the northern city limits is named after the last township supervisor, Anthony Dobry, who was also the second mayor."
210,New Haven,Connecticut,130418,129779,+0.49%,18.7 sq mi,48.4 km2,6948/sq mi,2683/km2,411839,725530,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0952000,"The city's demography is shifting rapidly: New Haven has always been a city of immigrants and the Latino population is growing rapidly.The city served as co-capital of Connecticut from 1701 until 1873, when sole governance was transferred to the more centrally located city of Hartford.New Haven is also home to two Achievement First charter schools, Amistad Academy and Elm City College Prep, and to Common Ground, an environmental charter school.New Haven is a predominantly Roman Catholic city, as the city's Dominican, Irish, Italian, Mexican, Ecuadorian, and Puerto Rican populations are overwhelmingly Catholic.According to Giovanni Zinn of the city's Office of Sustainability, each fuel cell may save the city up to $1 million in energy costs over a decade.The city has plans to create two additional bike lanes connecting Union Station with downtown, and the Westville neighborhood with downtown.In 2004, the first bike lane in the city was added to Orange Street, connecting East Rock Park and the East Rock neighborhood to downtown."
211,Stamford,Connecticut,129775,122643,+5.82%,37.6 sq mi,97.4 km2,3434/sq mi,1326/km2,410448,733246,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0973000,"The city has an area of 52.09 square miles (134.9 km2), making it the largest city by area in the state.The library has branches in South End, Springdale, and the Turn of River sections of the city, it also has a bookmobile that runs daily to different neighborhoods.Notable Republicans from the city include former U.S. Representative Chris Shays, former Lieutenant Governor Michael Fedele, and former mayor Michael Pavia.Route 1, also known as Main Street in Stamford, is also used as a major artery during the morning and evening commute.Since 2008, an 80-acre mixed-use redevelopment project for the Stamford's Harbor Point neighborhood has added additional growth south of the city's Downtown area.Stamford is located on the New Haven Line on the Metro-North Railroad, the commuter rail system for northern metropolitan New York City.North Stamford encompasses the largest land mass in Stamford, however it is the least densely populated area of the city."
212,Concord,California,129688,122067,+6.24%,30.5 sq mi,79.0 km2,4221/sq mi,1630/km2,375820,1220006,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0616000,"The station consists of two areas: the inland area (5,170 acres (21 km2)) which is within the Concord city limits, and tidal area (7,630 acres (31 km2)).At the 2010 census, the city had a population of 122,067 making it the 8th largest city in the San Francisco Bay Area.In the far northern edge of town is a primarily industrial area, dominated by the Tesoro Golden Eagle Refinery (which is actually not located within city limits).The city is a major regional suburban East Bay center within the San Francisco Bay Area, and is 29 miles (47 kilometres) east of San Francisco.The city established a small Japanese style park in the city, and placed half of a sculpture, The Communion Bridge, in it.The city is also served by Concord Patch, a local news website covering community news and events, and by a news and talk blog called Claycord.com.In the southwest area of the city is the primarily Latino neighborhood known as Four Corners, centered around the intersection of Monument Boulevard and Oak Grove Road."
213,Kent,Washington,129618,92411,+40.26%,33.7 sq mi,87.3 km2,3784/sq mi,1461/km2,472317,1221246,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US5335415,"Kent has designated the following landmarks: The city is governed by a mayor–council government, with a directly elected mayor and a seven-member city council.The city grew in area by approximately 5 square miles (13 km2) and 24,000 residents.The median income for a household in the city was $50,053, and the median income for a family was $61,016.The median age in the city was 33 years.Federal Way Public Schools also has several schools within the city limits.Kent was officially incorporated on May 28, 1890, with a population of 793, the second city incorporated in King County.As of the census of 2000, there were 79,524 people, 31,113 households, and 19,601 families residing in the city."
214,Santa Clara,California,129488,116468,+11.18%,18.4 sq mi,47.7 km2,6845/sq mi,2643/km2,372153,1215804,https://factfinder.census.gov/bkmk/table/1.0/en/DEC/10_DP/DPDP1/1600000US0669084,"The city is also home to the Santa Clara City Library.The city's population was 116,468 as of the 2010 United States Census, making it the ninth-most populous city in the San Francisco Bay Area.53,694 people (46.1% of the population) lived in owner-occupied housing units and 59,578 people (51.2%) lived in rental housing units.The Mission City Center for Performing Arts is the city's venue for theatrical productions and entertainment.Levi's Stadium, the home of the National Football League's San Francisco 49ers, is located in the city.About 4.5% of families and 7.8% of the population were below the poverty line, including 6.3% of those under age 18 and 8.2% of those age 65 or over.10,906 households (25.4%) were made up of individuals and 2,945 (6.8%) had someone living alone who was 65 years of age or older."
